benchmark,budget,method,mode,cases,mean_ms,case_std_ms,repeat_std_ms,repeats_per_case_min,repeats_per_case_max,paired_ratio_to_uniform_mean,paired_ratio_to_uniform_std
shapenet_car,0.375,uniform,fast,9,7.023065785566966,0.03506748139588333,0.08603708743795681,5,5,1.0,0.0
shapenet_car,0.375,pi,sampled,9,6.975546189480358,0.00510156769535295,0.014809066797762177,20,20,1.0174591310298098,0.00045184447044551324
shapenet_car,0.375,pi,original,9,7.181097567081451,0.09258062979673823,0.22658988554716566,5,5,1.0225172692094757,0.013570547919605408
shapenet_car,0.375,pi,fast,9,7.181097567081451,0.09258062979673823,0.22658988554716566,5,5,1.0225172692094757,0.013570547919605408
shapenet_car,0.375,cpg,sampled,9,10.608998230761951,0.026280051148612614,0.02340422133612054,20,20,1.5474369764977778,0.0034462237028607717
shapenet_car,0.375,cpg,original,9,11.92624784178204,0.190021630891516,0.4571163339924579,5,5,1.6981990437338266,0.028913216646318022
shapenet_car,0.375,cpg,fast,9,11.92624784178204,0.190021630891516,0.4571163339924579,5,5,1.6981990437338266,0.028913216646318022
shapenet_car,0.375,ca,sampled,9,8.40057705839475,0.027039840704846732,0.029605425421871275,20,20,1.2253149110023729,0.0037187289391745594
shapenet_car,0.375,ca,original,9,9.690080914232466,0.20235387702019914,0.4603863035895542,5,5,1.379809847809664,0.031132961320992126
shapenet_car,0.375,ca,fast,9,9.690080914232466,0.20235387702019914,0.4603863035895542,5,5,1.379809847809664,0.031132961320992126
shapenet_car,0.5,uniform,sampled,9,8.643812065323194,0.008169799741086085,0.024204663255920706,20,20,1.0,0.0
shapenet_car,0.5,uniform,original,9,8.797296716107262,0.042219899208337054,0.07380661928416564,5,5,1.0,0.0
shapenet_car,0.5,uniform,fast,9,8.797296716107262,0.042219899208337054,0.07380661928416564,5,5,1.0,0.0
shapenet_car,0.5,pi,sampled,9,8.77333072324594,0.006247026087889025,0.020829338062969095,20,20,1.014984407853258,0.0007697473306750053
